drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
DUPIXENT,Injection site rash,309,17.95,15.89,20.26,17.89,4170.23,True,"DUPIXENT was reported with 'Injection site rash' in 309 cases. This combination occurs 17.95x more often than expected (95% CI: 15.89-20.26, entirely above 1, meaning the result is statistically significant). PRR=17.89 (≥2 threshold met), chi2=4170.23 (≥4 threshold met)."
DUPIXENT,Injection site urticaria,263,20.16,17.65,23.02,20.11,3965.3,True,"DUPIXENT was reported with 'Injection site urticaria' in 263 cases. This combination occurs 20.16x more often than expected (95% CI: 17.65-23.02, entirely above 1, meaning the result is statistically significant). PRR=20.11 (≥2 threshold met), chi2=3965.3 (≥4 threshold met)."
TYMLOS,Back pain,864,6.66,6.22,7.13,6.56,3949.97,True,"TYMLOS was reported with 'Back pain' in 864 cases. This combination occurs 6.66x more often than expected (95% CI: 6.22-7.13, entirely above 1, meaning the result is statistically significant). PRR=6.56 (≥2 threshold met), chi2=3949.97 (≥4 threshold met)."
DUPIXENT,Injection site pruritus,442,11.9,10.78,13.14,11.85,3921.98,True,"DUPIXENT was reported with 'Injection site pruritus' in 442 cases. This combination occurs 11.9x more often than expected (95% CI: 10.78-13.14, entirely above 1, meaning the result is statistically significant). PRR=11.85 (≥2 threshold met), chi2=3921.98 (≥4 threshold met)."
DUPIXENT,Erythema,952,5.97,5.59,6.38,5.92,3679.95,True,"DUPIXENT was reported with 'Erythema' in 952 cases. This combination occurs 5.97x more often than expected (95% CI: 5.59-6.38, entirely above 1, meaning the result is statistically significant). PRR=5.92 (≥2 threshold met), chi2=3679.95 (≥4 threshold met)."
DUPIXENT,Skin weeping,149,34.04,28.25,41.02,33.99,3545.58,True,"DUPIXENT was reported with 'Skin weeping' in 149 cases. This combination occurs 34.04x more often than expected (95% CI: 28.25-41.02, entirely above 1, meaning the result is statistically significant). PRR=33.99 (≥2 threshold met), chi2=3545.58 (≥4 threshold met)."
TYMLOS,Sensory disturbance,181,23.68,20.3,27.63,23.6,3504.89,True,"TYMLOS was reported with 'Sensory disturbance' in 181 cases. This combination occurs 23.68x more often than expected (95% CI: 20.3-27.63, entirely above 1, meaning the result is statistically significant). PRR=23.6 (≥2 threshold met), chi2=3504.89 (≥4 threshold met)."
DUPIXENT,Rebound eczema,58,150.16,99.74,226.06,150.07,3399.66,True,"DUPIXENT was reported with 'Rebound eczema' in 58 cases. This combination occurs 150.16x more often than expected (95% CI: 99.74-226.06, entirely above 1, meaning the result is statistically significant). PRR=150.07 (≥2 threshold met), chi2=3399.66 (≥4 threshold met)."
INFLIXIMAB,Intentional product use issue,891,5.58,5.22,5.97,5.5,3201.67,True,"INFLIXIMAB was reported with 'Intentional product use issue' in 891 cases. This combination occurs 5.58x more often than expected (95% CI: 5.22-5.97, entirely above 1, meaning the result is statistically significant). PRR=5.5 (≥2 threshold met), chi2=3201.67 (≥4 threshold met)."
DUPIXENT,Asthma,1506,3.85,3.66,4.06,3.81,3016.97,True,"DUPIXENT was reported with 'Asthma' in 1506 cases. This combination occurs 3.85x more often than expected (95% CI: 3.66-4.06, entirely above 1, meaning the result is statistically significant). PRR=3.81 (≥2 threshold met), chi2=3016.97 (≥4 threshold met)."
DUPIXENT,Scratch,162,23.22,19.57,27.56,23.19,2783.04,True,"DUPIXENT was reported with 'Scratch' in 162 cases. This combination occurs 23.22x more often than expected (95% CI: 19.57-27.56, entirely above 1, meaning the result is statistically significant). PRR=23.19 (≥2 threshold met), chi2=2783.04 (≥4 threshold met)."
DUPIXENT,Skin irritation,255,13.96,12.24,15.92,13.93,2681.05,True,"DUPIXENT was reported with 'Skin irritation' in 255 cases. This combination occurs 13.96x more often than expected (95% CI: 12.24-15.92, entirely above 1, meaning the result is statistically significant). PRR=13.93 (≥2 threshold met), chi2=2681.05 (≥4 threshold met)."
DUPIXENT,Rebound atopic dermatitis,39,225.65,127.66,398.88,225.56,2646.91,True,"DUPIXENT was reported with 'Rebound atopic dermatitis' in 39 cases. This combination occurs 225.65x more often than expected (95% CI: 127.66-398.88, entirely above 1, meaning the result is statistically significant). PRR=225.56 (≥2 threshold met), chi2=2646.91 (≥4 threshold met)."
DUPIXENT,Ocular hyperaemia,376,9.59,8.63,10.66,9.56,2626.96,True,"DUPIXENT was reported with 'Ocular hyperaemia' in 376 cases. This combination occurs 9.59x more often than expected (95% CI: 8.63-10.66, entirely above 1, meaning the result is statistically significant). PRR=9.56 (≥2 threshold met), chi2=2626.96 (≥4 threshold met)."
DUPIXENT,Rash macular,322,10.72,9.55,12.03,10.69,2550.52,True,"DUPIXENT was reported with 'Rash macular' in 322 cases. This combination occurs 10.72x more often than expected (95% CI: 9.55-12.03, entirely above 1, meaning the result is statistically significant). PRR=10.69 (≥2 threshold met), chi2=2550.52 (≥4 threshold met)."
TYMLOS,Myalgia,495,7.01,6.41,7.67,6.95,2440.29,True,"TYMLOS was reported with 'Myalgia' in 495 cases. This combination occurs 7.01x more often than expected (95% CI: 6.41-7.67, entirely above 1, meaning the result is statistically significant). PRR=6.95 (≥2 threshold met), chi2=2440.29 (≥4 threshold met)."
TYMLOS,Fatigue,1703,3.12,2.97,3.28,3.04,2330.32,True,"TYMLOS was reported with 'Fatigue' in 1703 cases. This combination occurs 3.12x more often than expected (95% CI: 2.97-3.28, entirely above 1, meaning the result is statistically significant). PRR=3.04 (≥2 threshold met), chi2=2330.32 (≥4 threshold met)."
DUPIXENT,Nasal congestion,570,6.15,5.65,6.69,6.12,2298.28,True,"DUPIXENT was reported with 'Nasal congestion' in 570 cases. This combination occurs 6.15x more often than expected (95% CI: 5.65-6.69, entirely above 1, meaning the result is statistically significant). PRR=6.12 (≥2 threshold met), chi2=2298.28 (≥4 threshold met)."
DUPIXENT,Therapeutic response decreased,552,6.28,5.76,6.84,6.25,2289.92,True,"DUPIXENT was reported with 'Therapeutic response decreased' in 552 cases. This combination occurs 6.28x more often than expected (95% CI: 5.76-6.84, entirely above 1, meaning the result is statistically significant). PRR=6.25 (≥2 threshold met), chi2=2289.92 (≥4 threshold met)."
DUPIXENT,Nasal polyps,250,12.07,10.58,13.76,12.04,2254.71,True,"DUPIXENT was reported with 'Nasal polyps' in 250 cases. This combination occurs 12.07x more often than expected (95% CI: 10.58-13.76, entirely above 1, meaning the result is statistically significant). PRR=12.04 (≥2 threshold met), chi2=2254.71 (≥4 threshold met)."
TYMLOS,Product dose omission in error,308,9.28,8.27,10.4,9.22,2160.26,True,"TYMLOS was reported with 'Product dose omission in error' in 308 cases. This combination occurs 9.28x more often than expected (95% CI: 8.27-10.4, entirely above 1, meaning the result is statistically significant). PRR=9.22 (≥2 threshold met), chi2=2160.26 (≥4 threshold met)."
INFLIXIMAB,Overdose,541,5.98,5.49,6.52,5.93,2155.44,True,"INFLIXIMAB was reported with 'Overdose' in 541 cases. This combination occurs 5.98x more often than expected (95% CI: 5.49-6.52, entirely above 1, meaning the result is statistically significant). PRR=5.93 (≥2 threshold met), chi2=2155.44 (≥4 threshold met)."
TYMLOS,Injection site pain,525,6.1,5.59,6.66,6.04,2148.96,True,"TYMLOS was reported with 'Injection site pain' in 525 cases. This combination occurs 6.1x more often than expected (95% CI: 5.59-6.66, entirely above 1, meaning the result is statistically significant). PRR=6.04 (≥2 threshold met), chi2=2148.96 (≥4 threshold met)."
